idlocacao,inquilino,valor_contrato,vigencia,localizacao,corretor,imovel
16613,João Miguel Barros,14164,2023-10-30,"Esplanada Marcos Vinicius Albuquerque, 65
Madre Gertrudes
94447811 Vargas do Amparo / BA",Lara Rios,69412
88743,Dr. Augusto Aparecida,5265,2024-08-05,"Praia Lorena Lima, 45
Paquetá
48507517 Andrade de Macedo / MS",Mariana da Paz,9976
50462,Vitor Gabriel Freitas,15325,2022-11-23,"Vereda Barbosa, 50
São Bento
50688-530 Gomes Alegre / RR",Zoe Fogaça,45391
40516,José Pedro Ribeiro,17415,2022-06-11,"Viaduto de Pacheco, 55
Colégio Batista
42771-399 Siqueira / RS",João Felipe Oliveira,96517
57632,Srta. Maya Costa,12785,2023-02-18,"Avenida de Lima, 19
Calafate
93552547 da Rocha / MA",Hellena Silva,3431
49593,Arthur Fonseca,6633,2023-02-26,"Núcleo Monteiro, 9
Vila Nova Cachoeirinha 1ª Seção
12546321 Silveira / RS",Kamilly Cavalcanti,8418
98939,Arthur Miguel Brito,3430,2023-05-14,"Distrito de Brito, 66
Morro Dos Macacos
46384355 Rodrigues Verde / MG",Dra. Stephany Moraes,12596
93228,João Guilherme Pinto,2013,2024-03-31,"Vila Melissa Campos
Estrela
13084-829 da Rocha dos Dourados / MS",Benicio da Rocha,72600
85020,Mateus Moraes,4134,2022-12-20,"Passarela de Nunes, 3
Tres Marias
67300649 Pimenta / PR",Liz Ferreira,32485
55591,Lorenzo Viana,13633,2022-02-09,"Via de da Rosa, 38
Conjunto Celso Machado
34092-766 Vargas das Flores / AC",Juan Lima,54199
35366,Sr. Henrique Peixoto,14570,2023-05-03,"Setor Carvalho, 857
Nova America
23553979 Machado / SE",Cauê Rezende,38237
7294,Eduarda Abreu,13287,2022-12-31,"Estação Cirino, 436
São Tomaz
05586-635 Alves da Mata / MT",Carolina Martins,15291
61378,Thomas Cavalcante,17802,2023-04-11,"Campo Brenda da Conceição, 58
Santa Monica
83367-176 Nogueira / RJ",Marina Araújo,60087
74087,Sabrina Monteiro,1891,2022-03-24,"Favela Benício Montenegro, 82
Nova Vista
41961-532 Monteiro do Campo / SP",Maria Sophia Rodrigues,6799
66094,Dr. Erick Brito,8592,2022-12-06,"Ladeira Theo Fonseca, 391
São Francisco Das Chagas
66954956 Correia do Galho / AC",Maria Clara Sousa,56234
75955,Catarina Nascimento,17560,2022-10-13,"Colônia de Lopes
Aparecida
47006585 Fernandes Alegre / PI",Ravi Lucca Nogueira,98300
3279,Caio Costela,5548,2022-01-11,"Distrito de Rocha, 75
Ribeiro De Abreu
84212-961 Cassiano / MT",Alícia Sampaio,55727
37006,Eloah Barros,1953,2023-01-03,"Estação Elisa Pastor, 941
São Tomaz
65077096 Rezende / SC",Yago Novaes,54921
4292,Bruna Pires,16997,2022-06-15,"Via Maria Júlia Almeida, 82
Vale Do Jatoba
10128-068 Cardoso / SE",Pedro Lucas Costela,41119
62808,Caleb Barros,17438,2024-05-11,"Campo Aragão, 74
João Paulo Ii
97656-691 Casa Grande / CE",Josué Moraes,37620
84875,Srta. Mariah Teixeira,6794,2021-12-14,"Favela de Mendonça, 174
Lindéia
94865-458 Nunes / PE",Davi Luiz Rios,52221
57234,Eloá Alves,15925,2024-09-01,"Estação Thomas Sampaio, 59
Nova Pampulha
44442050 da Cruz / ES",Danilo Alves,90570
83360,Yago Cassiano,4446,2022-01-04,"Colônia de da Rosa, 8
Vista Alegre
82900503 Abreu / PR",Arthur Miguel Castro,11951
67250,Srta. Maria Flor Melo,5008,2023-06-17,"Lagoa Rafaela Jesus, 32
Vila Nova
82392-244 Rios da Praia / SE",Ravi Pereira,94356
85632,Ravi Lucca Vasconcelos,13559,2023-09-23,"Ladeira de Moreira, 87
Flavio De Oliveira
43261-389 Gomes Grande / PI",Valentim Pacheco,32859
74275,Eduardo Nogueira,7124,2022-04-23,"Estação Pedro Miguel Macedo, 170
Ademar Maldonado
16615-778 Casa Grande de Azevedo / AP",Gabriela Cirino,34257
51677,Sr. Gustavo Nogueira,17496,2023-11-11,"Setor de Brito, 96
Vila Jardim Leblon
38712677 Oliveira de Minas / PE",Jade Souza,52782
78035,Sr. Luiz Gustavo Pinto,13004,2022-03-27,"Feira Melissa Cavalcanti, 4
Aparecida
80240064 Abreu do Sul / MS",Thiago Casa Grande,89679
98062,Maria Fernanda Cunha,10380,2022-03-01,"Quadra Alice Albuquerque, 23
Castelo
81834-056 Rios / AP",Sr. Henry Peixoto,89078
81257,Bianca das Neves,8463,2022-08-28,"Campo de Silveira, 85
São Francisco
78539403 Correia de Macedo / SP",Rael Azevedo,68449
59828,Benício Novaes,14120,2022-04-16,"Vale Montenegro, 24
Pompéia
99867-722 Silva / MA",Lívia Ribeiro,15049
42779,Sophia Casa Grande,2562,2022-06-07,"Lagoa de Jesus, 7
Varzea Da Palma
40479843 Jesus de Duarte / RJ",Lavínia Andrade,31308
79954,Daniel da Mata,7157,2022-05-19,"Sítio de Silva, 91
Acaba Mundo
03813536 Casa Grande das Flores / PI",Renan Carvalho,50854
48325,Sr. Pedro Lucas Aragão,14144,2023-09-29,"Estrada de Nogueira
Ouro Preto
81217482 Sales do Galho / AC",Sr. Mathias Ramos,52805
17985,Giovanna da Mata,13581,2022-10-11,"Setor Câmara, 25
Olaria
35663-405 da Rocha do Sul / PE",Isaque Oliveira,62051
35290,Srta. Allana Barbosa,19255,2023-08-21,"Quadra Gael Henrique da Cruz, 60
Universo
75794376 Silveira / RJ",Davi Luiz Aragão,47550
14660,Bruna Cunha,15330,2022-10-06,"Largo Ana Sophia Câmara, 27
São Francisco Das Chagas
76681-089 Alves de Goiás / SE",José Miguel Cardoso,26291
7132,Giovanna Gomes,9769,2022-11-22,"Feira Novaes, 8
Barreiro
29542-883 das Neves / SE",Diego Casa Grande,94009
63254,Luiz Felipe Câmara,16944,2022-11-08,"Distrito Mariane da Cruz, 68
Vila Ouro Minas
28816-926 Dias / PR",Marcos Vinicius Araújo,29582
37828,Bruna Moraes,11750,2023-05-03,"Trevo da Paz, 284
Varzea Da Palma
30865810 Costela da Serra / AM",Davi Lucas Machado,9406
70468,Ian da Luz,10400,2023-08-04,"Trevo de Martins, 48
Boa União 1ª Seção
66210-941 Brito do Amparo / DF",Guilherme Pires,27590
86043,Carolina Albuquerque,6782,2024-10-20,"Trecho de Nogueira, 156
Vila Nova Dos Milionarios
83116-867 Novais / RR",João Felipe Pastor,68915
44326,Alana da Paz,12821,2023-11-21,"Trecho de da Costa, 9
Morro Dos Macacos
97634-988 da Costa das Flores / RO",Sra. Maria Alice Vieira,38401
71316,Igor Rios,19354,2023-01-14,"Trecho da Mata, 233
São Francisco
26900-466 da Rosa de Goiás / AL",Heloisa Cavalcanti,674
58850,Maria Eduarda Teixeira,14599,2022-05-13,"Esplanada Diego Rodrigues
Vila Nova
04636-796 Castro / GO",Davi Lucas Alves,31034
98932,Ana Liz Casa Grande,10655,2022-11-28,"Feira de Teixeira, 41
Vila Suzana Segunda Seção
15313-659 Pires da Prata / PR",Dra. Liz Câmara,54921
92042,José Miguel Vieira,18528,2024-09-27,"Fazenda Lavínia Oliveira, 121
Vila Jardim São José
47189261 da Paz de Barros / SP",Antônio Pastor,233
35194,Maria Clara da Rocha,1902,2023-02-20,"Condomínio Cecília Costa, 288
São Damião
90890-794 Cassiano / AM",Emanuelly Macedo,63434
4074,Maria Luísa Novais,9048,2023-08-19,"Viaduto Anthony Gabriel da Conceição, 25
Aeroporto
69472066 Sales Paulista / DF",Rhavi Fogaça,65137
82370,Sr. Benício Costela,4782,2024-03-23,"Jardim de Pastor, 17
Flavio Marques Lisboa
44221-190 Pimenta de Goiás / CE",Pietra Azevedo,45100
95117,Olivia Souza,18847,2022-09-08,"Lago Porto, 47
Corumbiara
49917580 Dias / TO",Raul Novais,79064
69388,Maria Alice Montenegro,5285,2022-02-24,"Colônia de Rocha, 120
Frei Leopoldo
92689-196 Mendonça do Norte / PB",Mathias Cunha,83572
29685,Otto Borges,7150,2021-12-22,"Quadra Lucca Nogueira, 4
Vista Alegre
98679158 Barbosa de Cassiano / AL",Camila Rios,15275
42794,Sara Lima,1965,2024-05-10,"Rua de Pacheco, 53
Outro
17654-793 Casa Grande / PA",Sr. João Miguel das Neves,96477
46584,Kevin Nunes,8811,2023-09-07,"Viaduto Vieira, 806
Solimoes
86359879 Cassiano de Freitas / SE",Dr. Nicolas Jesus,18918
23767,Juan Sales,19787,2023-09-01,"Vereda Freitas, 97
São Vicente
33618-160 da Costa do Sul / PE",Dr. José Pedro da Mata,9930
28971,Melina Fogaça,9381,2024-01-07,"Ladeira Rhavi Leão
Corumbiara
44875-035 Ramos de Monteiro / MT",Alexandre da Conceição,26705
8478,Rodrigo Oliveira,9077,2024-02-18,"Favela Andrade
Boa Vista
39386822 Araújo do Norte / DF",Dr. Benjamim Cirino,28756
47620,Srta. Eduarda Silveira,14466,2024-03-04,"Alameda Pedro da Cruz, 259
Mangabeiras
55183-098 Almeida da Prata / AM",Dra. Maria Cecília Vieira,18327
38839,Sr. Enzo Gabriel Fonseca,10136,2024-02-22,"Parque de Vieira, 12
Cruzeiro
69728735 Sales / PR",Ester Camargo,88650
60444,Vicente Costa,7310,2024-09-26,"Viaduto de Pires, 172
Minaslandia
79795-365 Ramos Paulista / PE",Vitória Santos,68491
98041,Sr. Rodrigo Gonçalves,18710,2023-12-01,"Distrito de Ramos, 65
Santa Rosa
01138174 Dias / MS",Elisa Camargo,9626
1326,Lucas da Cruz,6979,2024-08-19,"Viela Albuquerque, 9
Vila Primeiro De Maio
85535059 Siqueira da Mata / RJ",Oliver Casa Grande,40665
45243,Helena Sales,1425,2024-09-08,"Sítio Maria Luiza Santos, 858
Luxemburgo
85220868 da Mota de Pires / MG",Ana Liz Brito,96231
73444,Carolina Souza,19705,2024-11-18,"Setor Rodrigo Campos, 10
Vila Santa Rosa
19453370 Silveira / SE",Mateus Aragão,15155
20247,Augusto Machado,5894,2024-08-30,"Pátio Eloah Cunha, 866
Pantanal
04469-897 Fernandes de Rodrigues / AM",Sofia Viana,18611
84854,Clara Santos,13580,2022-10-23,"Feira de Mendes
Urca
46811250 Cavalcanti da Prata / PB",Rael Garcia,68811
68961,Marcelo Campos,15299,2022-05-26,"Praça de da Mata, 24
Centro
32398150 Abreu de Martins / SP",Giovanna Gomes,35592
53778,Sr. Bruno Ramos,3383,2023-09-21,"Jardim Brenda Viana, 43
Horto Florestal
78679193 Pacheco / AM",Maria Eduarda Almeida,45823
63981,Rodrigo Gonçalves,10008,2023-09-08,"Rodovia Cavalcanti, 83
Nossa Senhora Do Rosário
66920441 Macedo / MS",Ravy Pereira,16497
82206,Ravi Lucca Nogueira,17407,2023-02-18,"Travessa de Moraes, 27
Solimoes
54603259 Viana do Campo / PB",João Miguel Fonseca,34647
68431,Dra. Juliana Gonçalves,14596,2021-11-26,"Sítio Cavalcante, 96
Vila Copasa
56885-266 Pacheco / AC",Antônio Camargo,93570
29008,Vitor Gabriel Lima,14790,2023-01-05,"Travessa de Silveira
Conjunto Jardim Filadélfia
79875-082 da Mata / RS",Alice Dias,78172
92711,Catarina Campos,16599,2023-01-20,"Chácara Maria Alice Carvalho, 321
Das Industrias I
96415120 Barbosa / AP",Vinicius Mendes,45965
70762,Pedro Miguel Pimenta,2880,2024-03-30,"Praça Marcela Araújo, 88
Vila Jardim São José
33382-443 Nogueira de Pinto / RN",Dra. Maria Eduarda Vasconcelos,31276
3050,Camila Câmara,17961,2023-09-10,"Esplanada Peixoto, 30
Cidade Jardim Taquaril
98013-983 Nunes / MT",Maria Isis Ramos,52812
21657,Liam Rios,16272,2024-06-08,"Morro de Albuquerque, 75
Cenaculo
53698936 Teixeira dos Dourados / BA",Luara Machado,78346
