idimovel,localizacao,proprietario,preco_compra,preco_aluguel
64638,"Distrito Marques, 91
São Jorge 2ª Seção
08145-130 Cunha de Correia / SC",Paulo da Cruz,122894,4685
60859,"Colônia Luiza Castro, 891
Copacabana
05801651 Cassiano de Fogaça / TO",Anthony da Mata,887970,3215
35907,"Vila Dias, 1
Mariano De Abreu
65488-727 Oliveira Paulista / AP",Marina Caldeira,270578,3769
43952,"Avenida Mendonça, 1
Flavio Marques Lisboa
70879-980 Moreira / PR",Heloisa Cunha,458035,3365
32488,"Praia de Campos
Santa Cecilia
65968480 Nogueira Verde / CE",Enzo Gabriel Leão,695578,2293
49128,"Condomínio Samuel Cavalcante, 576
Horto Florestal
10159-728 Santos / SE",Maria Sophia Moreira,639840,4041
36192,"Distrito de da Mota, 1
Piraja
08790936 da Cunha / RR",José Pedro Monteiro,471301,951
77295,"Favela Almeida, 3
Novo Ouro Preto
27612-667 da Conceição do Galho / AL",Clara Porto,212887,3850
89643,"Vereda Marina Camargo, 2
Ribeiro De Abreu
92265597 Rodrigues da Praia / PE",Igor da Rocha,779450,1920
90776,"Lago Pimenta, 79
Araguaia
63596118 Fogaça de Guerra / PE",Noah Dias,960118,1397
42794,"Estação Cirino, 42
Santo Agostinho
71961200 Macedo / SP",Ana Carolina Nogueira,231449,1559
43561,"Travessa de das Neves, 11
Jardim Dos Comerciarios
33988-578 Sales / AC",Theodoro Azevedo,142755,3267
49926,"Travessa Vargas, 41
São Vicente
96828-432 Siqueira / BA",Noah Nogueira,878882,921
88553,"Largo de da Costa, 715
Nova Esperança
83797644 Cardoso / PE",Marcos Vinicius Câmara,738589,643
15660,"Área de Fonseca
Milionario
72684-464 Novais dos Dourados / DF",Luiza Fernandes,785825,2129
18777,"Rua Castro, 7
Acaiaca
33638-514 Nogueira do Galho / MG",Dra. Ana Lívia Farias,612944,2735
68668,"Largo de Caldeira, 13
Vila Real 1ª Seção
26640868 Pimenta da Mata / RS",Srta. Emanuelly Moraes,649935,839
59410,"Setor de Pereira
São Tomaz
62016-084 Monteiro dos Dourados / PI",Dr. Leandro Campos,748105,3164
48473,"Residencial Machado
Vila Sesc
46629668 Fernandes / RS",Sra. Manuela da Cunha,699936,1958
20881,"Lago de Lima
Vila Santa Rosa
29398-724 Silveira dos Dourados / TO",Gael Azevedo,572561,3543
17807,"Núcleo de Pereira, 83
Inconfidência
74479191 Pacheco de Minas / AM",João Abreu,758127,2264
25423,"Distrito Raul Santos
Alta Tensão 1ª Seção
85998-653 Sales da Serra / TO",Ana Clara Aparecida,395992,2287
28372,"Setor Valentina Azevedo, 18
Alta Tensão 2ª Seção
76363027 Castro Paulista / MA",Benicio da Mota,630130,2847
5025,"Trecho de Monteiro, 528
Santo Agostinho
09918-206 Cardoso / MG",Dr. Ian Caldeira,83829,4632
61785,"Feira Sabrina Teixeira, 506
São Vicente
98181992 Pacheco de Gomes / BA",Dra. Emanuella Lopes,869760,532
52213,"Rua de Garcia
Marilandia
38550-818 Jesus / RR",Sra. Sarah Santos,703199,4288
93238,"Pátio da Conceição, 22
São Pedro
22646-661 Dias da Serra / SC",Ayla Nascimento,781979,1577
51829,"Favela Yago Oliveira, 7
Vila Real 2ª Seção
59486-403 Sampaio da Serra / MG",Dr. João Gabriel Barbosa,600102,1517
35597,"Trecho de Ramos, 11
Cabana Do Pai Tomás
57945383 Mendes da Prata / RR",Nicolas Santos,934796,2262
81302,"Conjunto de Sousa, 3
Cidade Jardim
78713225 Caldeira da Praia / DF",Srta. Sofia Pastor,684199,3062
41133,"Lagoa de Correia, 24
Paquetá
01157-708 da Paz / AC",Hellena da Cunha,639025,1109
81977,"Chácara Souza
Miramar
04709-470 Silva de Cassiano / RJ",Júlia Campos,304550,4965
16088,"Recanto de da Costa, 50
Palmeiras
49684902 Novais / SP",Murilo Carvalho,564854,1120
12369,"Vereda Ravi Monteiro, 50
Das Industrias I
24854545 Barbosa Grande / SE",Vinícius Mendonça,83662,4876
8757,"Alameda Martins, 820
Vila Barragem Santa Lúcia
99205-994 Souza / SC",Sr. Arthur Miguel Lima,607828,2662
39703,"Quadra Vargas, 98
São Tomaz
39419066 Gonçalves de Goiás / AL",Samuel Ferreira,804203,4927
75044,"Alameda Ferreira, 74
Bonsucesso
30587-466 Pereira / CE",Maysa da Cruz,821442,4803
62310,"Via Isabella Siqueira, 244
Milionario
20564146 Porto / RN",Camila Nunes,866033,2570
37841,"Ladeira Rodrigo da Cunha, 23
Barão Homem De Melo 2ª Seção
17939-816 Nascimento das Pedras / ES",Vicente Souza,223638,3142
37864,"Colônia de Nascimento, 62
Vila Nova Gameleira 3ª Seção
21710919 da Paz / BA",Ryan da Cunha,720212,2216
10796,"Sítio Costa, 67
Jardinópolis
47449-002 Ferreira Verde / SC",Dr. Vitor Gonçalves,247242,1250
58208,"Ladeira Marques, 920
Piraja
95490-995 Cirino / AL",Bárbara Carvalho,570145,1868
18224,"Estrada Juan Sales, 673
Tupi A
36229-585 Rodrigues / RJ",Dr. Lucas Vargas,356308,820
48303,"Esplanada Ferreira, 9
Vila Aeroporto Jaraguá
81744-127 Vargas / BA",João Pedro Albuquerque,585407,2955
