idpessoas,nome,cpf,data_nascimento,endereco,telefone,sexo
91392,Srta. Catarina Caldeira,296.037.541-61,1947-03-15,"Chácara de Camargo, 78",+55 (041) 5647 9655,M
70654,Vitor Gabriel Rios,318.602.945-70,1963-03-25,Loteamento Pereira,+55 41 1742 9669,M
37330,Sra. Emilly Aparecida,364.592.781-64,1919-02-22,"Sítio Cardoso, 50",+55 (051) 3543-1903,F
26362,Apollo Viana,402.715.639-07,1961-04-04,"Trevo Arthur Miguel Aragão, 16",+55 11 8774 6046,M
98796,Rafaela Borges,320.781.956-77,2017-07-09,Fazenda Mendonça,51 9965 0660,M
31151,Caio Moraes,256.130.948-70,1997-12-21,"Estação de Carvalho, 840",(021) 8734 4991,F
73806,Cecilia Novaes,350.472.891-41,1939-08-03,"Lagoa Melissa Fonseca, 12",71 2707 4565,M
90468,Ryan Sá,630.952.841-60,1975-10-15,Vale Nathan Cardoso,(071) 7352-3756,F
45155,Benjamin Alves,452.067.813-71,2018-09-30,"Parque Cavalcante, 37",84 8325-9287,F
30849,Clara das Neves,526.813.074-90,2022-03-08,"Estação Freitas, 87",+55 (051) 8082 9273,F
82773,Valentina da Conceição,065.381.427-53,2011-09-25,"Estação Yan Teixeira, 977",+55 71 7802 0501,F
26059,Dr. Isaque Santos,693.075.142-16,1985-03-21,"Pátio Clarice da Rocha, 23",11 7496 9333,F
41072,Leandro Campos,594.260.837-74,1959-09-10,"Passarela Júlia Lopes, 449",0500 366 6903,M
51886,Ana Clara Pacheco,614.352.908-60,2015-09-23,"Pátio Bento Ferreira, 40",0300-811-4107,M
69169,Allana Pacheco,436.981.072-87,2002-12-12,"Viaduto Mathias Jesus, 438",31 0505 9402,M
83898,Camila Moreira,856.920.741-76,1921-01-28,Rodovia Pires,+55 21 0012-8887,M
87888,Raquel Oliveira,865.923.147-37,1996-11-18,Feira de Costa,61 1031 7692,F
10765,Davi Lucca Ramos,712.905.863-30,1950-03-16,"Residencial Felipe da Conceição, 20",71 2440 8991,F
52315,Antony Marques,295.637.840-65,1920-02-05,"Avenida Moreira, 26",41 2928 9830,F
89475,Isabel Siqueira,047.381.652-08,2004-02-17,"Colônia Marcelo da Rosa, 6",+55 (071) 4137-7089,F
94739,Amanda Azevedo,829.630.415-51,1921-07-17,Travessa Cardoso,+55 (011) 6028 9427,F
56438,Anna Liz Melo,430.798.261-40,1930-02-19,"Morro de Vargas, 89",+55 21 9636 0292,F
47759,Srta. Marcela Ramos,981.732.560-12,1966-10-27,Pátio de Ramos,+55 (061) 9247 6569,M
16990,Dr. Igor Moura,643.785.092-29,2004-12-13,Viaduto de Moraes,84 9207 6143,M
91947,José Fonseca,420.659.178-49,1940-10-24,"Setor Ana Cecília Souza, 769",0800 100 8819,F
16870,Ana Vitória Nogueira,980.541.763-84,1929-03-08,Aeroporto de Rodrigues,+55 (031) 6814-7145,M
73865,Maria Clara Farias,327.589.416-19,1924-05-21,"Lagoa de Pacheco, 71",(041) 2810 8150,M
95501,Matteo Dias,496.183.725-37,1918-01-11,"Distrito Cecília da Costa, 38",0300 117 8637,M
7666,Melina Almeida,875.312.604-17,1998-11-20,"Conjunto de Cardoso, 42",21 6540 6245,M
11470,Helena Oliveira,704.895.316-01,1995-03-20,"Vale Rodrigues, 921",(061) 1407-4448,M
72195,João Siqueira,549.028.167-76,1958-05-11,"Estação Enzo Gabriel Sales, 355",51 9623 6724,M
6865,Emanuel Oliveira,152.690.847-67,1923-02-27,"Loteamento Maitê Brito, 58",(051) 7604 3172,F
50464,Srta. Isabelly Porto,931.847.250-14,2007-06-11,"Recanto de Abreu, 82",71 7957-2178,M
396,Matteo da Paz,287.034.596-83,1964-04-14,"Campo de Cirino, 42",+55 (084) 7005 3523,M
80661,Kevin Nunes,760.394.581-00,1954-04-22,"Distrito Freitas, 42",(021) 7522 4413,F
9421,Dr. Alexandre Porto,812.490.765-01,2020-11-13,"Estação Bryan Ramos, 96",+55 11 8612-4269,F
84045,Julia Novais,240.378.961-50,1953-02-05,"Favela Ana Clara Leão, 81",(051) 4117-2637,F
73704,Sra. Luara Aparecida,354.016.729-34,1932-08-16,"Quadra Thales Ferreira, 71",(031) 8322-2763,F
99767,Lavínia Cardoso,804.625.971-30,1934-11-26,"Vereda Gonçalves, 92",21 0987-3755,F
66883,Sra. Alexia Macedo,297.016.438-87,1935-05-07,"Vila Sales, 37",+55 (011) 7477-0938,F
87664,Sarah Oliveira,821.037.459-14,2001-07-26,"Fazenda Olívia Cavalcante, 81",(021) 0282 3428,F
25812,Luan Viana,465.301.798-01,1939-05-13,"Aeroporto Ravi Lucca Vieira, 43",61 4359-9029,M
61790,André Pereira,584.603.219-24,1977-11-02,"Avenida Barros, 37",+55 (081) 3967-8330,M
17338,Ana Julia Rezende,294.013.568-15,1941-06-04,"Morro de Farias, 927",0900-641-1198,F
41359,Dr. João Miguel Almeida,269.543.817-64,1988-06-16,Residencial Mendonça,(081) 2894 9976,F
98972,Gabrielly Machado,591.643.278-09,2010-03-08,"Travessa Abreu, 61",+55 84 6780-2372,F
90887,Ana Julia Garcia,127.453.906-43,2003-08-03,"Recanto Sousa, 90",+55 71 9702-4032,M
87778,Dr. Breno Rocha,245.608.317-26,1948-10-28,Estrada Vargas,+55 (071) 7259-8711,M
21582,Yasmin Nogueira,096.318.247-13,1927-02-25,"Avenida Garcia, 36",0300-281-4581,M
3134,Valentim Silva,153.847.290-23,1938-04-27,"Praia de Rocha, 71",+55 (041) 0004-3760,F
96417,Sr. Rafael Moraes,985.632.704-00,1991-07-20,"Distrito de Novais, 31",+55 11 9943 9414,F
12859,Thiago Campos,197.625.083-86,1925-10-04,"Passarela de Pacheco, 12",41 4300 6800,F
77594,Sr. Emanuel Correia,286.539.741-64,2003-10-10,"Parque Pacheco, 213",11 0592 2737,F
63070,Luna Fernandes,293.640.581-51,1977-06-06,"Sítio de das Neves, 2",(031) 8335-2543,M
36450,Sophie da Mota,295.641.807-67,2016-01-30,"Sítio de Fernandes, 33",+55 (084) 4575 2788,F
92381,Dr. Isaque Rodrigues,360.182.459-06,1929-05-20,"Recanto de Sá, 58",0900-689-7935,F
51741,Luiz Miguel Brito,167.049.283-40,2003-09-29,"Parque Silva, 163",0900-772-6066,F
93589,Jade Cavalcanti,382.197.604-78,1912-10-08,Vereda Fonseca,21 7802 8451,M
83239,Henry Gabriel da Cunha,256.870.941-30,1960-12-07,"Favela Liam Gonçalves, 31",+55 51 6769 3812,M
65998,Allana da Paz,875.032.496-92,1912-04-28,"Travessa da Cruz, 29",51 6458 1299,F
97386,Isabel Peixoto,130.692.485-51,1981-12-30,"Ladeira Mendonça, 14",+55 84 8069-6752,F
12569,Stephany da Rosa,482.763.019-40,1957-06-20,"Fazenda Henry Macedo, 340",(031) 0802-0836,M
42817,Maria Eduarda Porto,714.083.695-75,1946-05-23,"Ladeira Allana Teixeira, 98",+55 81 5051-4378,M
9304,João Lucas Porto,570.349.812-05,2003-10-15,Vale de Machado,0500-601-8862,M
43740,Elisa Farias,062.457.931-06,1961-02-13,"Residencial Cauê da Mota, 98",(041) 4016-6871,F
20273,Juliana Aparecida,362.174.890-31,2006-12-29,"Distrito João Lucas Rezende, 291",+55 31 4580 0071,M
60720,Stephany Lopes,514.723.890-50,1979-07-24,Quadra de Cassiano,+55 51 2045 4894,M
66382,Julia Oliveira,725.468.913-91,1961-05-14,"Favela Juliana Sousa, 78",+55 31 3641 5213,F
48305,Sra. Helena Pimenta,726.035.489-56,1955-07-17,"Loteamento de Carvalho, 67",+55 (081) 5684-4160,M
6334,Renan Sá,946.280.175-49,2006-06-18,"Vila de Costela, 92",0900-434-1827,F
17176,Sr. Caio Sales,076.415.293-99,1998-12-21,"Campo de Teixeira, 45",+55 81 5060 7222,F
26121,Luiz Gustavo Fernandes,746.038.159-48,2017-11-11,"Favela da Luz, 18",(021) 8510 3307,F
13437,Ana Sophia Câmara,985.217.406-11,2002-07-08,"Praia de Cardoso, 76",61 1117 5942,M
96779,Ravi Lucca Martins,897.034.562-00,1976-10-11,"Lagoa Gael Henrique Rocha, 40",31 2087-9157,M
95837,Eloah Santos,962.703.184-40,2008-02-24,"Distrito Allana Ferreira, 64",21 2755-2759,F
85744,Igor Azevedo,281.563.407-44,1960-03-08,"Morro Alícia Moreira, 90",81 6750-0605,M
22084,Sra. Júlia Fonseca,572.103.948-50,1941-03-20,"Vila de Martins, 99",+55 81 5534 9989,F
64856,Dra. Maria Clara da Paz,784.159.032-60,1941-12-22,"Condomínio de Farias, 52",+55 84 9751 6815,M
60917,Caroline Sousa,519.078.246-85,1962-11-23,"Vale Pacheco, 53",11 3900 0041,M
75642,Isabela Cassiano,764.932.805-83,1917-07-02,"Viela de Souza, 89",(051) 0934-8257,M
36266,Eloá Sousa,135.960.748-00,1942-06-24,Trecho Moreira,+55 71 2462 2618,M
65990,Clarice Monteiro,452.906.178-76,1981-05-01,"Trevo Ana Cecília Moura, 242",+55 31 9007 5426,F
27139,Evelyn Albuquerque,629.314.875-46,1985-10-24,"Núcleo Ayla Machado, 43",+55 (021) 6815 4102,M
55978,Carolina Pinto,170.568.923-02,1932-02-20,"Rua Barros, 59",84 0822-3036,F
